geneid	taxid	debref	symbol	Full_name_from_nomenclature_authority
33496	7227	FBgn0041111	lilli	lilliputian
33498	7227	FBgn0010263	Rbp9	RNA-binding protein 9
33499	7227	FBgn0024920	Ts	Thymidylate synthase
33500	7227	FBgn0004584	Rrp1	Recombination repair protein 1
33501	7227	FBgn0260639	gammaTub23C	gamma-Tubulin at 23C
33502	7227	FBgn0031483	CG9641	-
33503	7227	FBgn0031484	CG3165	-
33504	7227	FBgn0031485	CG9643	-
33505	7227	FBgn0250786	Chd1	Chromodomain-helicase-DNA-binding protein 1
33507	7227	FBgn0002989	okr	okra
33509	7227	FBgn0031488	CG17265	-
33510	7227	FBgn0031489	CG17224	-
33511	7227	FBgn0031490	CG17264	-
33512	7227	FBgn0031491	alpha4GT1	-
33513	7227	FBgn0031492	CG3542	-
33514	7227	FBgn0031493	CG3605	-
33515	7227	FBgn0031494	CG17219	-
33516	7227	FBgn0031495	GABPI	beta4GalNAcTB pilot
33517	7227	FBgn0031496	CG17258	-
33518	7227	FBgn0031497	CG17259	-
33519	7227	FBgn0031498	CG17260	-
33520	7227	FBgn0243513	cnir	cornichon related
33521	7227	FBgn0031500	CG17221	-
33522	7227	FBgn0031501	CG17261	-
33524	7227	FBgn0283427	FASN1	Fatty acid synthase 1
33526	7227	FBgn0015600	toc	toucan
33527	7227	FBgn0031504	CG15403	-
33528	7227	FBgn0031505	ND-B14.5B	NADH dehydrogenase (ubiquinone) B14.5 B subunit
33529	7227	FBgn0011648	Mad	Mothers against dpp
33530	7227	FBgn0260817	gkt	glaikit
33532	7227	FBgn0014906	Hydr2	alpha/beta hydrolase2
33534	7227	FBgn0085422	CG34393	-
33535	7227	FBgn0264744	CG44002	-
33537	7227	FBgn0031512	CG15404	-
33538	7227	FBgn0031513	CG3347	-
33539	7227	FBgn0031514	CG3332	-
33540	7227	FBgn0031515	CG9664	-
33541	7227	FBgn0031516	CG9663	-
33542	7227	FBgn0031517	CG15406	-
33543	7227	FBgn0031518	CG3277	-
33544	7227	FBgn0031519	CG3326	-
33545	7227	FBgn0031520	CG8837	-
33547	7227	FBgn0031522	CG3285	-
33548	7227	FBgn0031523	CG15408	-
33551	7227	FBgn0031526	CG8838	-
33552	7227	FBgn0085423	CG34394	-
33553	7227	FBgn0031528	CG15412	-
33554	7227	FBgn0031529	CG9662	-
33555	7227	FBgn0016698	Ptpa	Phosphotyrosyl phosphatase activator
33556	7227	FBgn0031530	pgant2	polypeptide GalNAc transferase 2
33557	7227	FBgn0031531	CG8840	-
33559	7227	FBgn0031533	CG2772	-
33560	7227	FBgn0031534	Snx1	Sorting nexin 1
33561	7227	FBgn0031535	CG12795	-
33562	7227	FBgn0031536	Cog3	-
33563	7227	FBgn0266670	Sec5	Sec5 ortholog (S. cerevisiae)
33564	7227	FBgn0031538	CG3246	-
33565	7227	FBgn0005616	msl-2	male-specific lethal 2
33567	7227	FBgn0031540	CG3238	-
33568	7227	FBgn0051776	CG31776	-
33569	7227	FBgn0261560	Thor	-
33570	7227	FBgn0031542	CG15414	-
33571	7227	FBgn0014396	tim	timeless
33572	7227	FBgn0051954	CG31954	-
33573	7227	FBgn0031544	CG17593	-
33574	7227	FBgn0031545	CG3213	-
33575	7227	FBgn0031546	CG8851	-
33576	7227	FBgn0031547	Sr-CIV	Scavenger receptor class C, type IV
33577	7227	FBgn0031548	CG8852	-
33578	7227	FBgn0031549	Spindly	-
33579	7227	FBgn0031550	Che-13	Che-13 ortholog (C. elegans)
33581	7227	FBgn0004892	sob	sister of odd and bowl
33583	7227	FBgn0002985	odd	odd skipped
33585	7227	FBgn0031554	CG15418	-
33589	7227	FBgn0031558	CG16704	-
33590	7227	FBgn0031559	CG3513	-
33591	7227	FBgn0031560	CG16713	-
33592	7227	FBgn0031561	IM33	Immune induced molecule 33
33593	7227	FBgn0031562	CG3604	-
33594	7227	FBgn0031563	CG10031	-
33595	7227	FBgn0031564	CG2816	-
33597	7227	FBgn0031566	CG2818	-
33599	7227	FBgn0003386	Shaw	Shaker cognate w
33600	7227	FBgn0031568	CG10019	-
33601	7227	FBgn0263846	CG43707	-
33602	7227	FBgn0004893	bowl	brother of odd with entrails limited
33603	7227	FBgn0051958	CG31958	-
33604	7227	FBgn0031571	bark	bark beetle
33606	7227	FBgn0031573	CG3407	-
33607	7227	FBgn0003430	slp1	sloppy paired 1
33608	7227	FBgn0004567	slp2	sloppy paired 2
33609	7227	FBgn0031574	CG3964	-
33610	7227	FBgn0031575	Cep97	-
33611	7227	FBgn0000256	capu	cappuccino
33613	7227	FBgn0051774	fred	friend of echinoid
33615	7227	FBgn0031579	CG15422	-
33616	7227	FBgn0031580	CG15423	-
33617	7227	FBgn0264295	CG43773	-
33619	7227	FBgn0000547	ed	echinoid
33621	7227	FBgn0014033	Sr-CI	Scavenger receptor class C, type I
33622	7227	FBgn0031585	CG2955	-
33623	7227	FBgn0026394	Or24a	Odorant receptor 24a
33626	7227	FBgn0031589	CG3714	-
33627	7227	FBgn0001075	ft	fat
33628	7227	FBgn0031590	CG3702	-
33629	7227	FBgn0003941	RpL40	Ribosomal protein L40
33630	7227	FBgn0265269	CG15425	-
33631	7227	FBgn0031592	Art2	Arginine methyltransferase 2
33635	7227	FBgn0028482	bdl	borderless
33636	7227	FBgn0020762	Atet	ABC transporter expressed in trachea
33637	7227	FBgn0031596	CG15429	-
33638	7227	FBgn0026319	Traf4	TNF-receptor-associated factor 4
33639	7227	FBgn0031597	CG17612	-
33640	7227	FBgn0031598	Vps53	Vacuolar protein sorting 53
33641	7227	FBgn0261976	Psf2	-
33642	7227	FBgn0027560	Tps1	Trehalose-6-phosphate synthase 1
33643	7227	FBgn0031600	CG3652	-
33644	7227	FBgn0022153	l(2)k05819	lethal (2) k05819
33645	7227	FBgn0031601	Dim1	-
33646	7227	FBgn0031602	CG15431	-
33647	7227	FBgn0031603	CG15432	-
33648	7227	FBgn0027609	morgue	modifier of rpr and grim, ubiquitously expressed
33649	7227	FBgn0031604	Elp3	Elongator complex protein 3
33650	7227	FBgn0025684	MFS18	Major Facilitator Superfamily Transporter 18
33651	7227	FBgn0031606	CG15439	-
33652	7227	FBgn0031607	CG15440	-
33653	7227	FBgn0019982	Gs1l	GS1-like
33654	7227	FBgn0261606	RpL27A	Ribosomal protein L27A
33655	7227	FBgn0031608	CG15435	-
33656	7227	FBgn0031609	CG15443	-
33657	7227	FBgn0031610	CG15436	-
33658	7227	FBgn0031611	CG17840	-
33659	7227	FBgn0011603	ine	inebriated
33661	7227	FBgn0031613	HP6	Heterochromatin protein 6
33665	7227	FBgn0031617	CG15635	-
33667	7227	FBgn0031619	CG3355	-
33668	7227	FBgn0031620	CG11929	-
33669	7227	FBgn0000227	Bsg25A	Blastoderm-specific gene 25A
33670	7227	FBgn0031621	Elba3	Early boundary activity 3
33671	7227	FBgn0031622	CG3251	-
33672	7227	FBgn0031623	Taf12L	TBP-associated factor 30kD subunit alpha-2
33675	7227	FBgn0031626	CG15631	-
33676	7227	FBgn0031627	CG15630	-
33677	7227	FBgn0031628	CG3294	-
33678	7227	FBgn0031629	Clect27	C-type lectin 27kD
33679	7227	FBgn0031630	CG15629	-
33680	7227	FBgn0031631	CG3225	-
33681	7227	FBgn0031632	CG15628	-
33682	7227	FBgn0031633	Fnta	Farnesyl transferase alpha
33683	7227	FBgn0031634	Ir25a	Ionotropic receptor 25a
33684	7227	FBgn0031635	tank	-
33685	7227	FBgn0031636	CG12194	-
33686	7227	FBgn0031637	mxt	mextli
33687	7227	FBgn0031638	CG11927	-
33688	7227	FBgn0031639	mRpS2	mitochondrial ribosomal protein S2
33689	7227	FBgn0031640	Mon1	Mon1 ortholog
33690	7227	FBgn0051660	pog	poor gastrulation
33692	7227	FBgn0000286	Cf2	Chorion factor 2
33693	7227	FBgn0031643	CG3008	-
33694	7227	FBgn0031644	CG15625	-
33695	7227	FBgn0031645	CG3036	-
33696	7227	FBgn0031646	CG2837	-
33700	7227	FBgn0031649	hoe2	hoepel2
33701	7227	FBgn0003372	Sgs1	Salivary gland secretion 1
33702	7227	FBgn0031650	CG14044	-
33703	7227	FBgn0031651	mRpL24	mitochondrial ribosomal protein L24
33704	7227	FBgn0015000	betaggt-I	beta subunit of type I geranylgeranyl transferase
33705	7227	FBgn0031652	jet	jetlag
33706	7227	FBgn0031653	Jon25Biii	Jonah 25Biii
33707	7227	FBgn0031654	Jon25Bii	Jonah 25Bii
33708	7227	FBgn0020906	Jon25Bi	Jonah 25Bi
33709	7227	FBgn0031655	Marcal1	-
33710	7227	FBgn0015834	Trip1	-
33711	7227	FBgn0262467	Scox	Synthesis of cytochrome c oxidase
33712	7227	FBgn0031657	CG3756	-
33714	7227	FBgn0031659	CG14043	-
33715	7227	FBgn0031660	mRpL28	mitochondrial ribosomal protein L28
33716	7227	FBgn0031661	Gmd	GDP-mannose 4,6-dehydratase
33717	7227	FBgn0031662	CG3792	-
33718	7227	FBgn0031663	CG8891	-
33719	7227	FBgn0031664	CG8892	-
33721	7227	FBgn0053113	Rtnl1	Reticulon-like1
33725	7227	FBgn0031670	CG3887	-
33726	7227	FBgn0016075	vkg	viking
33727	7227	FBgn0000299	Cg25C	Collagen type IV
33732	7227	FBgn0031675	CG9121	-
33734	7227	FBgn0031676	CG14040	-
33735	7227	FBgn0031677	CG14036	-
33736	7227	FBgn0014857	His3.3A	Histone H3.3A
33738	7227	FBgn0028694	Rpn11	Regulatory particle non-ATPase 11
33739	7227	FBgn0028572	qtc	quick-to-court
33742	7227	FBgn0031682	CG5828	-
33743	7227	FBgn0031683	CG4230	-
33744	7227	FBgn0031684	ND-13A	NADH dehydrogenase (ubiquinone) 13 kDa A subunit
33748	7227	FBgn0031688	Cyp28d2	-
33749	7227	FBgn0031689	Cyp28d1	-
33750	7227	FBgn0031690	CG7742	-
33751	7227	FBgn0250847	CG14034	-
33752	7227	FBgn0031692	TpnC25D	Troponin C at 25D
33753	7227	FBgn0003716	tkv	thickveins
33754	7227	FBgn0031693	Cyp4ac1	-
33755	7227	FBgn0031694	Cyp4ac2	-
33756	7227	FBgn0031695	Cyp4ac3	-
33757	7227	FBgn0000228	Bsg25D	Blastoderm-specific gene 25D
33758	7227	FBgn0031696	Bub1	Bub1 homologue
33759	7227	FBgn0016076	vri	vrille
33760	7227	FBgn0031697	CG14024	-
33761	7227	FBgn0031698	Ncoa6	Nuclear receptor coactivator 6
33763	7227	FBgn0031700	CG14022	-
33764	7227	FBgn0031701	TotM	Turandot M
33765	7227	FBgn0031702	fusl	fuseless
33766	7227	FBgn0031703	CG12512	-
33768	7227	FBgn0016920	nompC	no mechanoreceptor potential C
33769	7227	FBgn0016660	H15	-
33770	7227	FBgn0261963	mid	midline
33771	7227	FBgn0031707	CG14020	-
33772	7227	FBgn0031708	CG7382	-
33774	7227	FBgn0031710	Vps52	Vacuolar protein sorting 52
33775	7227	FBgn0031711	CG6907	-
33776	7227	FBgn0051648	CG31648	-
33777	7227	FBgn0031713	CG7277	-
33778	7227	FBgn0051989	Cap-D3	Chromosome associated protein D3
33779	7227	FBgn0031715	tomb	tombola
33780	7227	FBgn0031716	CG14015	-
33781	7227	FBgn0014189	Hel25E	Helicase at 25E
33782	7227	FBgn0002525	Lam	Lamin
33783	7227	FBgn0031717	Oscillin	-
33784	7227	FBgn0031718	CG14014	-
33785	7227	FBgn0031719	CG18269	-
33786	7227	FBgn0031720	CG14013	-
33787	7227	FBgn0031721	CG14017	-
33788	7227	FBgn0004620	GluRIIA	Glutamate receptor IIA
33789	7227	FBgn0020429	GluRIIB	Glutamate receptor IIB
33790	7227	FBgn0031722	CG14011	-
33791	7227	FBgn0031723	CG7251	-
33792	7227	FBgn0031724	CG18266	-
33793	7227	FBgn0031725	DIP-eta	Dpr-interacting protein eta
33795	7227	FBgn0051646	DIP-theta	Dpr-interacting protein theta
33796	7227	FBgn0031728	Hsp60C	-
33797	7227	FBgn0031729	CG12511	-
33798	7227	FBgn0031730	CG7236	-
33799	7227	FBgn0031731	CG14007	-
33800	7227	FBgn0031732	CG11149	-
33802	7227	FBgn0031733	CG14006	-
33803	7227	FBgn0031734	CG11147	-
33804	7227	FBgn0031735	CG11029	-
33805	7227	FBgn0031736	CG11030	-
33806	7227	FBgn0031737	obst-E	obstructor-E
33807	7227	FBgn0031738	CG9171	-
33808	7227	FBgn0031739	CG14005	-
33809	7227	FBgn0031740	CG7239	-
33810	7227	FBgn0031741	CG11034	-
33812	7227	FBgn0085410	TrissinR	Trissin receptor
33814	7227	FBgn0031745	rau	-
33815	7227	FBgn0031746	CG9029	-
33816	7227	FBgn0002856	Acp26Ab	Accessory gland protein 26Ab
33817	7227	FBgn0002855	Acp26Aa	Accessory gland protein 26Aa
33818	7227	FBgn0031747	CG9021	-
33819	7227	FBgn0043362	bchs	blue cheese
33820	7227	FBgn0031749	CG14000	-
33822	7227	FBgn0031751	CG9016	-
33823	7227	FBgn0015381	dsf	dissatisfaction
33824	7227	FBgn0001128	Gpdh	Glycerol 3 phosphate dehydrogenase
33825	7227	FBgn0031752	CG9044	-
33826	7227	FBgn0031753	CG13999	-
33827	7227	FBgn0003980	Vm26Ab	Vitelline membrane 26Ab
33828	7227	FBgn0086266	Vm26Ac	Vitelline membrane 26Aac
33829	7227	FBgn0003979	Vm26Aa	Vitelline membrane 26Aa
33830	7227	FBgn0086265	psd	palisade
33831	7227	FBgn0031756	CG13992	-
33832	7227	FBgn0031757	Ucp4C	-
33833	7227	FBgn0031758	Ucp4B	Uncoupling protein 4B
33834	7227	FBgn0000308	chic	chickadee
33835	7227	FBgn0001942	eIF-4a	Eukaryotic initiation factor 4a
33836	7227	FBgn0001941	ifc	infertile crescent
33837	7227	FBgn0031759	lid	little imaginal discs
33838	7227	FBgn0031760	Tsp26A	Tetraspanin 26A
33839	7227	FBgn0001089	Gal	beta galactosidase
33840	7227	FBgn0031762	CG9098	-
33841	7227	FBgn0001170	H2.0	Homeodomain protein 2.0
33842	7227	FBgn0031763	CG13996	-
33843	7227	FBgn0031764	CG9107	-
33844	7227	FBgn0031765	CG9109	-
33845	7227	FBgn0025742	mtm	myotubularin
33846	7227	FBgn0031766	CG9117	-
33847	7227	FBgn0000052	ade2	adenosine 2
33849	7227	FBgn0031768	CG12393	-
33850	7227	FBgn0031769	CG9135	-
33851	7227	FBgn0031770	CG13995	-
33852	7227	FBgn0031771	ND-51	NADH dehydrogenase (ubiquinone) 51 kDa subunit
33853	7227	FBgn0031772	CG13994	-
33854	7227	FBgn0031773	Fbw5	F-box and WD repeat domain containing 5
33855	7227	FBgn0031774	CG9147	-
33856	7227	FBgn0031775	CG9150	-
33857	7227	FBgn0031776	CG13993	-
33858	7227	FBgn0031777	CG9154	-
33859	7227	FBgn0266449	Kr-h2	Kruppel homolog 2
33861	7227	FBgn0266450	Kr-h1	Kruppel homolog 1
33862	7227	FBgn0031779	CG9175	-
33863	7227	FBgn0266521	stai	stathmin
33864	7227	FBgn0031781	Arpc4	Actin-related protein 2/3 complex, subunit 4
33865	7227	FBgn0031782	WDR79	WD repeat domain 79 homolog
33866	7227	FBgn0261697	tectonic	-
33867	7227	FBgn0031784	CG9222	-
33868	7227	FBgn0031785	CG13991	-
33869	7227	FBgn0031786	CG13989	-
33874	7227	FBgn0031791	AANATL2	Arylalkylamine N-acyltransferase-like 2
33875	7227	FBgn0031792	CG13983	-
33879	7227	FBgn0260452	CG13984	-
33881	7227	FBgn0265778	PDZ-GEF	PDZ domain-containing guanine nucleotide exchange factor
33882	7227	FBgn0031799	Pez	-
33883	7227	FBgn0015623	Cpr	Cytochrome P450 reductase
33884	7227	FBgn0031800	CG9497	-
33885	7227	FBgn0031801	CG9498	-
33886	7227	FBgn0031802	ppk7	pickpocket 7
33887	7227	FBgn0031803	ppk14	pickpocket 14
33888	7227	FBgn0031804	CG9500	-
33889	7227	FBgn0031805	CG9505	-
33890	7227	FBgn0043854	slam	slow as molasses
33892	7227	FBgn0031808	CG9507	-
33893	7227	FBgn0259716	CG42370	-
33894	7227	FBgn0259715	CG42369	-
33895	7227	FBgn0031811	CG13982	-
33896	7227	FBgn0011722	Tig	Tiggrin
33897	7227	FBgn0263278	Fic	Fic domain-containing protein
33898	7227	FBgn0031813	CG9527	-
33899	7227	FBgn0031814	retm	real-time
33900	7227	FBgn0031815	frj	farjavit
33901	7227	FBgn0031816	CG16947	-
33902	7227	FBgn0031817	CG9531	-
33903	7227	FBgn0259749	mmy	mummy
33904	7227	FBgn0031818	CG9536	-
33905	7227	FBgn0086357	Sec61alpha	Sec61 alpha subunit
33906	7227	FBgn0031820	Daxx	Daxx-like protein
33907	7227	FBgn0031821	KFase	Kynurenine formamidase
33908	7227	FBgn0027496	epsilonCOP	Coat Protein (coatomer) epsilon
33909	7227	FBgn0031822	CG9548	-
33910	7227	FBgn0051638	CG31638	-
33911	7227	FBgn0031824	CG9547	-
33913	7227	FBgn0031826	CG9550	-
33914	7227	FBgn0051637	CG31637	-
33916	7227	FBgn0000320	eya	eyes absent
33917	7227	FBgn0031829	Osm6	Osm-6 ortholog (C. elegans)
33918	7227	FBgn0031830	COX5B	Cytochrome c oxidase subunit 5B
33919	7227	FBgn0031831	COX5BL	Cytochrome c oxidase subunit 5B-like
33920	7227	FBgn0031832	CG9596	-
33921	7227	FBgn0263916	Ent2	Equilibrative nucleoside transporter 2
33922	7227	FBgn0031834	CG13766	-
33923	7227	FBgn0031835	CG11319	-
33924	7227	FBgn0031836	CG11050	-
33925	7227	FBgn0031837	DIP-iota	Dpr-interacting protein iota
33927	7227	FBgn0051634	Oatp26F	Organic anion transporting polypeptide 26F
33928	7227	FBgn0051635	CG31635	-
33930	7227	FBgn0031842	Tango1	Transport and Golgi organization 1
33931	7227	FBgn0051633	CG31633	-
33932	7227	FBgn0028467	CG11070	-
33933	7227	FBgn0031844	CG13771	-
33934	7227	FBgn0000392	cup	-
33935	7227	FBgn0263200	Galt	Galactose-1-phosphate uridylyltransferase
33937	7227	FBgn0000351	cort	cortex
33938	7227	FBgn0031848	Nse1	Non-SMC element 1
33939	7227	FBgn0028703	Nhe3	Na[+]/H[+] hydrogen exchanger 3
33940	7227	FBgn0031849	CG11327	-
33941	7227	FBgn0031850	Tsp	Thrombospondin
33942	7227	FBgn0025595	AkhR	Adipokinetic hormone receptor
33943	7227	FBgn0031851	Aatf	apoptosis antagonizing transcription factor ortholog
33944	7227	FBgn0025777	homer	-
33946	7227	FBgn0031853	TTLL3B	Tubulin tyrosine ligase-like 3B
33947	7227	FBgn0031854	TTLL3A	Tubulin tyrosine ligase-like 3A
33948	7227	FBgn0031855	CG11221	-
33949	7227	FBgn0031856	CG11322	-
33950	7227	FBgn0031857	CG11321	-
33951	7227	FBgn0031858	CG17378	-
33952	7227	FBgn0015776	nrv1	nervana 1
33953	7227	FBgn0015777	nrv2	nervana 2
33954	7227	FBgn0031859	CG17377	-
33955	7227	FBgn0031860	CG11236	-
33956	7227	FBgn0031861	CG17375	-
33957	7227	FBgn0051632	sens-2	senseless-2
33959	7227	FBgn0017551	Rca1	Regulator of cyclin A1
33960	7227	FBgn0086451	l(2)k09022	lethal (2) k09022
33961	7227	FBgn0031865	Nha1	Na[+]/H[+] hydrogen antiporter 1
33962	7227	FBgn0031866	Nlg2	Neuroligin 2
33963	7227	FBgn0042092	CG13773	-
33964	7227	FBgn0031868	Rat1	-
33965	7227	FBgn0011737	Wee1	Wee1 kinase
33966	7227	FBgn0026196	nop5	-
33967	7227	FBgn0028554	x16	-
33968	7227	FBgn0004838	Hrb27C	Heterogeneous nuclear ribonucleoprotein at 27C
33969	7227	FBgn0031869	CG18304	-
33971	7227	FBgn0031871	Fgop2	Fibroblast growth factor receptor 1 oncogene partner 2
33972	7227	FBgn0031872	ihog	interference hedgehog
33973	7227	FBgn0031873	Gas41	-
33974	7227	FBgn0020616	SA	Stromalin
33975	7227	FBgn0031874	CG13775	-
33976	7227	FBgn0031875	CG3430	-
33977	7227	FBgn0031876	Atac1	Ada2a-containing complex component 1
33978	7227	FBgn0031877	CG10399	-
33979	7227	FBgn0031878	sip2	septin interacting protein 2
33981	7227	FBgn0264922	smt3	-
33982	7227	FBgn0016978	snRNP-U1-70K	small ribonucleoprotein particle U1 subunit 70K
33983	7227	FBgn0031879	uif	uninflatable
33984	7227	FBgn0263027	CG43322	-
33985	7227	FBgn0003046	Pcp	Pupal cuticle protein
33986	7227	FBgn0000053	ade3	adenosine 3
33987	7227	FBgn0031881	CG3476	-
33988	7227	FBgn0031882	Rab30	-
33989	7227	FBgn0031883	Caper	-
33991	7227	FBgn0031885	Mnn1	Menin 1
33992	7227	FBgn0031886	Nuf2	-
33993	7227	FBgn0031887	CG11289	-
33994	7227	FBgn0031888	Pvf2	PDGF- and VEGF-related factor 2
33995	7227	FBgn0085407	Pvf3	PDGF- and VEGF-related factor 3
33999	7227	FBgn0031893	CG4495	-
34000	7227	FBgn0031894	CG4496	-
34001	7227	FBgn0031895	CG4497	-
34002	7227	FBgn0031896	CG4502	-
34003	7227	FBgn0031897	CG13784	-
34004	7227	FBgn0263133	ico	iconoclast
34005	7227	FBgn0259111	Ndae1	Na[+]-driven anion exchanger 1
34006	7227	FBgn0031900	CG13786	-
34007	7227	FBgn0010453	Wnt4	Wnt oncogene analog 4
34009	7227	FBgn0004009	wg	wingless
34010	7227	FBgn0031902	Wnt6	Wnt oncogene analog 6
34011	7227	FBgn0031903	Wnt10	Wnt oncogene analog 10
34012	7227	FBgn0002938	ninaC	neither inactivation nor afterpotential C
34013	7227	FBgn0031904	CG5149	-
34014	7227	FBgn0031905	gudu	-
34015	7227	FBgn0031906	CG5160	-
34016	7227	FBgn0031907	CG5171	-
34017	7227	FBgn0031908	CG5177	-
34018	7227	FBgn0031909	CG5181	-
34019	7227	FBgn0031910	CG15818	-
34021	7227	FBgn0031912	CG5261	-
34022	7227	FBgn0031913	CG5958	-
34023	7227	FBgn0031914	CG5973	-
34024	7227	FBgn0025697	santa-maria	scavenger receptor acting in neural tissue and majority of rhodopsin is absent
34027	7227	FBgn0031918	CG6055	-
34029	7227	FBgn0031920	CG6441	-
34030	7227	FBgn0260486	Ziz	Zizimin ortholog (H. sapiens)
34031	7227	FBgn0011283	Obp28a	Odorant-binding protein 28a
34032	7227	FBgn0264895	RapGAP1	Rap GTPase activating protein 1
34035	7227	FBgn0083141	Spn28B	Serpin 28B
34036	7227	FBgn0031925	Cyp4d21	-
34037	7227	FBgn0031926	CG6739	-
34038	7227	FBgn0264087	Slob	Slowpoke binding protein
34041	7227	FBgn0031929	CG18585	-
34042	7227	FBgn0031930	CG7025	-
34044	7227	FBgn0041182	Tep2	Thioester-containing protein 2
34045	7227	FBgn0041181	Tep3	Thioester-containing protein 3
34046	7227	FBgn0267326	Ntl	Neurotransmitter transporter-like
34047	7227	FBgn0031935	CG13793	-
34048	7227	FBgn0031936	CG13794	-
34049	7227	FBgn0031937	CG13795	-
34051	7227	FBgn0031939	CG13796	-
34052	7227	FBgn0014454	Acp1	Adult cuticle protein 1
34053	7227	FBgn0031940	CG7214	-
34054	7227	FBgn0031941	ATPsynGL	ATP synthase, subunit G-like
34055	7227	FBgn0031942	CG7203	-
34058	7227	FBgn0031945	CG7191	-
34059	7227	FBgn0020880	CG7179	-
34060	7227	FBgn0003961	Uro	Urate oxidase
34061	7227	FBgn0031946	CG7164	-
34062	7227	FBgn0031947	CG7154	-
34063	7227	FBgn0031948	CG7149	-
34064	7227	FBgn0025687	LKRSDH	Lysine ketoglutarate reductase/saccharopine dehydrogenase
34065	7227	FBgn0031950	Herp	Homocysteine-induced endoplasmic reticulum protein
34066	7227	FBgn0031951	r2d2	-
34067	7227	FBgn0031952	cdc14	cell division cycle 14
34068	7227	FBgn0261800	LanB1	-
34069	7227	FBgn0027515	CG7115	-
34070	7227	FBgn0020618	Rack1	Receptor of activated protein kinase C 1
34072	7227	FBgn0031954	CG14537	-
34073	7227	FBgn0031955	CG14535	-
34075	7227	FBgn0031957	TwdlE	TweedleE
34077	7227	FBgn0031959	spz3	spatzle 3
34079	7227	FBgn0031961	CG7102	-
34080	7227	FBgn0261790	SmE	Small ribonucleoprotein particle protein SmE
34082	7227	FBgn0051902	Spn28Da	Serpin 28Da
34086	7227	FBgn0031968	CG7231	-
34087	7227	FBgn0031969	pes	peste
34088	7227	FBgn0031970	CG7227	-
34089	7227	FBgn0031971	Sirup	Starvation-upregulated protein
34090	7227	FBgn0031972	Wwox	WW domain containing oxidoreductase
34091	7227	FBgn0031973	Spn28Dc	Serpin 28Dc
34092	7227	FBgn0031974	CG12560	-
34093	7227	FBgn0031975	Tg	Transglutaminase
34094	7227	FBgn0031976	CG7367	-
34095	7227	FBgn0031977	baf	barrier to autointegration factor
34096	7227	FBgn0044323	Cka	Connector of kinase to AP-1
34097	7227	FBgn0031979	CCDC53	-
34098	7227	FBgn0031980	RpL36A	Ribosomal protein L36A
34099	7227	FBgn0031981	CG7466	-
34102	7227	FBgn0010287	Trf	TBP-related factor
34105	7227	FBgn0031986	CG8673	-
34106	7227	FBgn0031987	CG12375	-
34107	7227	FBgn0031988	CG8668	-
34109	7227	FBgn0031990	PAPLA1	Phosphatidic Acid Phospholipase A1
34110	7227	FBgn0261064	Rbsn-5	Rabenosyn-5
34111	7227	FBgn0031992	CG8498	-
34112	7227	FBgn0264953	Piezo	-
34114	7227	FBgn0031995	CG8475	-
34115	7227	FBgn0031996	CG8460	-
34116	7227	FBgn0031997	PGAP5	Post-GPI attachment to proteins 5 ortholog (H. sapiens)
34117	7227	FBgn0031998	SLC5A11	Sodium/solute co-transporter-like 5A11
34118	7227	FBgn0031999	CG8419	-
34119	7227	FBgn0003607	Su(var)205	Suppressor of variegation 205
34120	7227	FBgn0015299	Ssb-c31a	Single stranded-binding protein c31A
34121	7227	FBgn0032000	CG8372	-
34122	7227	FBgn0032001	CG8360	-
34123	7227	FBgn0032002	CG8353	-
34124	7227	FBgn0032003	CG8349	-
34125	7227	FBgn0032004	CG8292	-
34126	7227	FBgn0032005	Snx6	Sorting nexin 6
34127	7227	FBgn0032006	Pvr	PDGF- and VEGF-receptor related
34129	7227	FBgn0032008	CG14277	-
34131	7227	FBgn0032010	CG8086	-
34132	7227	FBgn0003502	Btk29A	Btk family kinase at 29A
34134	7227	FBgn0261020	wol	wollknaeuel
34135	7227	FBgn0032013	Scgalpha	Sarcoglycan alpha
34136	7227	FBgn0032014	CG7840	-
34137	7227	FBgn0032015	Ostgamma	Oligosaccharide transferase gamma subunit
34138	7227	FBgn0032016	CG7818	-
34139	7227	FBgn0032017	CG7810	-
34140	7227	FBgn0032018	CG7806	-
34141	7227	FBgn0262598	mtsh	mitoshell
34142	7227	FBgn0032020	CG7787	-
34143	7227	FBgn0032021	CG7781	-
34144	7227	FBgn0032022	CG14275	-
34145	7227	FBgn0032023	CG14274	-
34146	7227	FBgn0032024	CG14273	-
34147	7227	FBgn0032025	CG7778	-
34148	7227	FBgn0032026	CG7627	-
34149	7227	FBgn0010265	RpS13	Ribosomal protein S13
34152	7227	FBgn0032029	CG17292	-
34153	7227	FBgn0032030	Wdr82	WD repeat domain 82
34154	7227	FBgn0032031	CG13390	-
34155	7227	FBgn0032032	CG17294	-
34156	7227	FBgn0027094	Aats-ala	Alanyl-tRNA synthetase
34157	7227	FBgn0032033	CG13392	-
34158	7227	FBgn0032034	Rcd4	Reduction in Cnn dots 4
34159	7227	FBgn0263852	l(2)k12914	lethal (2) k12914
34160	7227	FBgn0032036	CG13384	-
34161	7227	FBgn0262002	CG42820	-
34162	7227	FBgn0015583	Acp29AB	Accessory gland protein 29AB
34164	7227	FBgn0032039	CG13385	-
34165	7227	FBgn0032040	CG13386	-
34166	7227	FBgn0001084	fy	fuzzy
34167	7227	FBgn0020497	emb	embargoed
