,Enzyme Common Name,,EnzymeId,BioCyn ID
2794,carboxypeptidase A activity,primary,1442,FBGN0031929-MONOMER
2795,chitinase activity,primary,1336,FBGN0020415-MONOMER
2796,ORF,primary,,FBGN0034859-MONOMER
2797,thiolester hydrolase activity,primary,,FBGN0050157-MONOMER
2798,DNA binding,primary,1384,FBGN0005696-MONOMER
2799,structural constituent of cuticle,primary,,FBGN0035490-MONOMER
2800,glycolate oxidase activity,primary,188,FBGN0061356-MONOMER
2801,ORF,primary,,FBGN0052494-MONOMER
2802,ORF,primary,,FBGN0053267-MONOMER
2803,ORF,primary,,FBGN0032414-MONOMER
2804,DEAD/H-box RNA helicase binding//DNA binding//zinc ion binding//nucleic acid binding,primary,,FBGN0003612-MONOMER
2805,ORF,primary,,FBGN0010877-MONOMER
2806,binding,primary,,FBGN0035205-MONOMER
2807,anion exchanger activity,primary,,FBGN0036043-MONOMER
2808,protein serine/threonine kinase activity,primary,1451,FBGN0035089-MONOMER
2809,protein binding,primary,,FBGN0259791-MONOMER
2810,ORF,primary,,FBGN0034165-MONOMER
2811,binding,primary,,FBGN0029713-MONOMER
2812,trypsin activity,primary,823,FBGN0030926-MONOMER
2813,protein binding//zinc ion binding,primary,,FBGN0037944-MONOMER
2814,GTPase activity,primary,1171,FBGN0026479-MONOMER
2815,zinc ion binding,primary,,FBGN0036791-MONOMER
2816,ORF,primary,,FBGN0069958-MONOMER
2817,ORF,primary,,FBGN0032619-MONOMER
2818,phosphatidylethanolamine binding,primary,,FBGN0011294-MONOMER
2819,transcription regulator activity//specific RNA polymerase II transcription factor activity,primary,,FBGN0015550-MONOMER
2820,DNA-dependent ATPase activity,primary,641,FBGN0002906-MONOMER
2821,ORF,primary,,FBGN0030895-MONOMER
2822,ORF,primary,,FBGN0038150-MONOMER
2823,ORF,primary,,FBGN0032825-MONOMER
2824,protein binding//zinc ion binding,primary,,FBGN0038686-MONOMER
2825,structural constituent of ribosome,primary,,FBGN0029973-MONOMER
2826,ORF,primary,,FBGN0033447-MONOMER
2827,ATP-dependent RNA helicase activity,primary,641,FBGN0037549-MONOMER
2828,protein binding,primary,,FBGN0039748-MONOMER
2829,ORF,primary,,FBGN0035040-MONOMER
2830,ORF,primary,,FBGN0038107-MONOMER
2831,ORF,primary,,FBGN0085235-MONOMER
2832,serine-type endopeptidase activity,primary,,FBGN0050286-MONOMER
2833,methionine-tRNA ligase activity,primary,1423,FBGN0027083-MONOMER
2834,double-stranded RNA binding,primary,,FBGN0039861-MONOMER
2835,serine-type peptidase activity//serine-type endopeptidase activity,primary,,FBGN0051220-MONOMER
2836,ORF,primary,,FBGN0038926-MONOMER
2837,ORF,primary,,FBGN0053643-MONOMER
2838,structural constituent of ribosome,primary,,FBGN0010410-MONOMER
2839,ORF,primary,,FBGN0037755-MONOMER
2840,ORF,primary,,FBGN0028645-MONOMER
2841,single-stranded DNA binding,primary,,FBGN0016669-MONOMER
2842,myosin phosphatase activity,primary,1547,FBGN0004103-MONOMER
2843,mRNA binding//nucleic acid binding,primary,,FBGN0023441-MONOMER
2844,binding,primary,,FBGN0038303-MONOMER
2845,ORF,primary,,FBGN0036549-MONOMER
2846,bHLH transcription factor binding//RNA polymerase II transcription factor activity//transcription factor activity//zinc ion binding//nucleic acid binding,primary,,FBGN0002573-MONOMER
2847,binding,primary,,FBGN0039417-MONOMER
2848,transferase activity,primary,,FBGN0037916-MONOMER
2849,trypsin activity,primary,823,FBGN0052271-MONOMER
2850,serine-type endopeptidase activity,primary,,FBGN0030776-MONOMER
2851,adenylate cyclase activity,primary,724,FBGN0040506-MONOMER
2852,hydrolase activity,primary,,FBGN0050103-MONOMER
2853,protease inhibitor activity,primary,,FBGN0050197-MONOMER
2854,structural constituent of ribosome,primary,,FBGN0036557-MONOMER
2855,aromatic-L-amino-acid decarboxylase activity,primary,302,FBGN0000422-MONOMER
2856,transcription factor binding,primary,,FBGN0026368-MONOMER
2857,oxysterol binding,primary,,FBGN0020626-MONOMER
2858,RNA polymerase II transcription factor activity//transcription factor activity,primary,,FBGN0030505-MONOMER
2859,serine-type endopeptidase activity,primary,,FBGN0051326-MONOMER
2860,glutamyl aminopeptidase activity,primary,1339,FBGN0052473-MONOMER
2861,ATPase activity,primary,641,FBGN0013811-MONOMER
2862,voltage-gated anion channel activity,primary,,FBGN0004363-MONOMER
2863,serine-type endopeptidase activity,primary,,FBGN0035678-MONOMER
2864,endopeptidase inhibitor activity//serine-type endopeptidase inhibitor activity,primary,,FBGN0037772-MONOMER
2865,ORF,primary,,FBGN0036938-MONOMER
2866,ORF,primary,,FBGN0259702-MONOMER
2867,ORF,primary,,FBGN0053710-MONOMER
2868,ORF,primary,,FBGN0011207-MONOMER
2869,ORF,primary,,FBGN0039881-MONOMER
2870,odorant binding,primary,,FBGN0043539-MONOMER
2871,sodium:potassium-exchanging ATPase activity,primary,628,FBGN0015777-MONOMER
2872,zinc ion binding,primary,,FBGN0042133-MONOMER
2873,ubiquitin-protein ligase activity,primary,1480,FBGN0035584-MONOMER
2874,DNA binding//protein binding//transcription factor activity,primary,,FBGN0003254-MONOMER
2875,ORF,primary,,FBGN0032827-MONOMER
2876,ORF,primary,,FBGN0259210-MONOMER
2877,nucleotide binding//mRNA binding//nucleic acid binding,primary,,FBGN0025790-MONOMER
2878,electron carrier activity//heme binding//monooxygenase activity//iron ion binding,primary,,FBGN0038037-MONOMER
2879,protein binding//zinc ion binding,primary,,FBGN0052581-MONOMER
2880,ORF,primary,,FBGN0046826-MONOMER
2881,protein serine/threonine kinase activity,primary,1451,FBGN0259678-MONOMER
2882,DNA binding//protein heterodimerization activity//protein binding//endodeoxyribonuclease activity,primary,,FBGN0002707-MONOMER
2883,oligosaccharyl transferase activity,primary,,FBGN0031149-MONOMER
2884,pheromone binding,primary,,FBGN0010403-MONOMER
2885,ORF,primary,,FBGN0051031-MONOMER
2886,electron carrier activity//heme binding//monooxygenase activity//iron ion binding,primary,,FBGN0038005-MONOMER
2887,structural constituent of cytoskeleton,primary,,FBGN0000042-MONOMER
2888,calcium-dependent protein serine/threonine phosphatase regulator activity,primary,1547,FBGN0025642-MONOMER
2889,prenyltransferase activity,primary,370,FBGN0028375-MONOMER
2890,ORF,primary,,FBGN0083972-MONOMER
2891,ORF,primary,,FBGN0039970-MONOMER
2892,ORF,primary,,FBGN0036967-MONOMER
2893,ORF,primary,,FBGN0037065-MONOMER
2894,nucleotide binding//mRNA binding//poly(A) binding,primary,,FBGN0032620-MONOMER
2895,ORF,primary,,FBGN0040685-MONOMER
2896,ATP-dependent RNA helicase activity,primary,641,FBGN0052533-MONOMER
2897,ORF,primary,,FBGN0040396-MONOMER
2898,ORF,primary,,FBGN0030570-MONOMER
2899,ORF,primary,,FBGN0037796-MONOMER
2900,protein binding//transcription factor activity,primary,,FBGN0053097-MONOMER
2901,ORF,primary,,FBGN0002865-MONOMER
2902,ORF,primary,,FBGN0259715-MONOMER
2903,serine-type Pro-X carboxypeptidase activity,primary,799,FBGN0032864-MONOMER
2904,ORF,primary,,FBGN0030607-MONOMER
2905,ORF,primary,,FBGN0038527-MONOMER
2906,ORF,primary,,FBGN0083974-MONOMER
2907,ORF,primary,,FBGN0029987-MONOMER
2908,ORF,primary,,FBGN0034564-MONOMER
2909,structural constituent of chitin-based cuticle//structural constituent of chitin-based larval cuticle,primary,,FBGN0002531-MONOMER
2910,ORF,primary,,FBGN0040972-MONOMER
2911,glutamyl aminopeptidase activity,primary,1339,FBGN0038135-MONOMER
2912,glucuronosyltransferase activity,primary,527,FBGN0040256-MONOMER
2913,dihydrolipoyl dehydrogenase activity,primary,1102,FBGN0022626-MONOMER
2914,ORF,primary,,FBGN0035495-MONOMER
2915,calcium ion binding,primary,,FBGN0033478-MONOMER
2916,carboxylesterase activity,primary,1121,FBGN0015571-MONOMER
2917,structural constituent of cytoskeleton,primary,,FBGN0031585-MONOMER
2918,ORF,primary,,FBGN0058153-MONOMER
2919,ORF,primary,,FBGN0025643-MONOMER
2920,transcription repressor activity//transcription factor binding,primary,,FBGN0053545-MONOMER
2921,zinc ion binding//nucleic acid binding,primary,,FBGN0032817-MONOMER
2922,N-acetylmuramoyl-L-alanine amidase activity,primary,853,FBGN0030310-MONOMER
2923,ORF,primary,,FBGN0032315-MONOMER
2924,ORF,primary,,FBGN0051374-MONOMER
2925,transcription factor activity,primary,,FBGN0021767-MONOMER
2926,protein serine/threonine phosphatase activity,primary,,FBGN0030758-MONOMER
2927,ORF,primary,,FBGN0035525-MONOMER
2928,histone acetyltransferase activity,primary,1459,FBGN0037555-MONOMER
2929,N-acetylgalactosamine-4-sulfatase activity,primary,979,FBGN0036765-MONOMER
2930,ORF,primary,,FBGN0032895-MONOMER
2931,secondary active monocarboxylate transmembrane transporter activity,primary,,FBGN0031012-MONOMER
2932,guanyl-nucleotide exchange factor activity,primary,,FBGN0032020-MONOMER
2933,ORF,primary,,FBGN0031753-MONOMER
2934,ORF,primary,,FBGN0031724-MONOMER
2935,ORF,primary,,FBGN0053541-MONOMER
2936,carbonate dehydratase activity,primary,168,FBGN0034560-MONOMER
2937,ORF,primary,,FBGN0085317-MONOMER
2938,ORF,primary,,FBGN0085215-MONOMER
2939,transcription regulator activity//metal ion binding,primary,,FBGN0000018-MONOMER
2940,chitin binding//structural constituent of peritrophic membrane,primary,,FBGN0036949-MONOMER
2941,ORF,primary,,FBGN0032943-MONOMER
2942,DNA binding//RNA polymerase II transcription factor activity//transcription factor activity,primary,,FBGN0023215-MONOMER
2943,fructose-bisphosphate aldolase activity,primary,104,FBGN0000064-MONOMER
2944,ORF,primary,,FBGN0051389-MONOMER
2945,ORF,primary,,FBGN0036214-MONOMER
2946,ATPase activator activity//chaperone binding//chaperone activator activity,primary,,FBGN0032961-MONOMER
2947,ORF,primary,,FBGN0035103-MONOMER
2948,"calcium, potassium:sodium antiporter activity",primary,,FBGN0039941-MONOMER
2949,protein tyrosine phosphatase activity,primary,1490,FBGN0003138-MONOMER
2950,phosphatidate phosphatase activity,primary,867,FBGN0037165-MONOMER
2951,ORF,primary,,FBGN0031722-MONOMER
2952,ORF,primary,,FBGN0029816-MONOMER
2953,general RNA polymerase II transcription factor activity,primary,,FBGN0036513-MONOMER
2954,ORF,primary,,FBGN0032838-MONOMER
2955,asparaginase activity,primary,736,FBGN0030653-MONOMER
2956,RNA-3'-phosphate cyclase activity,primary,1390,FBGN0025630-MONOMER
2957,structural molecule activity,primary,,FBGN0010295-MONOMER
2958,structural constituent of ribosome,primary,,FBGN0034893-MONOMER
2959,ORF,primary,,FBGN0038246-MONOMER
2960,ubiquitin-protein ligase activity,primary,1480,FBGN0041100-MONOMER
2961,[heparan sulfate]-glucosamine N-sulfotransferase activity,primary,125,FBGN0020251-MONOMER
2962,ORF,primary,,FBGN0031529-MONOMER
2963,ORF,primary,,FBGN0029931-MONOMER
2964,trypsin activity,primary,823,FBGN0050025-MONOMER
2965,metallopeptidase activity//nucleotide binding//mRNA binding//RNA binding//zinc ion binding,primary,,FBGN0032822-MONOMER
2966,transporter activity,primary,,FBGN0052246-MONOMER
2967,ORF,primary,,FBGN0025457-MONOMER
2968,taste receptor activity,primary,,FBGN0041250-MONOMER
2969,structural constituent of chitin-based larval cuticle,primary,,FBGN0035873-MONOMER
2970,ORF,primary,,FBGN0087039-MONOMER
2971,3-oxoacyl-[acyl-carrier-protein] synthase activity,primary,1476,FBGN0042627-MONOMER
2972,ORF,primary,,FBGN0034828-MONOMER
2973,ORF,primary,,FBGN0051790-MONOMER
2974,ORF,primary,,FBGN0030921-MONOMER
2975,glycerol-3-phosphate dehydrogenase (NAD+) activity,primary,616,FBGN0034825-MONOMER
2976,neurotransmitter receptor activity//GABA-A receptor activity//extracellular ligand-gated ion channel activity,primary,,FBGN0030707-MONOMER
2977,catalase activity,primary,699,FBGN0000261-MONOMER
2978,"transferase activity, transferring groups other than amino-acyl groups",primary,,FBGN0035557-MONOMER
2979,ORF,primary,,FBGN0034514-MONOMER
2980,ORF,primary,,FBGN0053229-MONOMER
2981,protein binding,primary,,FBGN0036312-MONOMER
2982,structural constituent of adult chitin-based cuticle//structural constituent of chitin-based cuticle,primary,,FBGN0036879-MONOMER
2983,ORF,primary,,FBGN0085670-MONOMER
2984,ORF,primary,,FBGN0036850-MONOMER
2985,ORF,primary,,FBGN0035617-MONOMER
2986,ARF GTPase activator activity//zinc ion binding,primary,,FBGN0050372-MONOMER
2987,sequence-specific DNA binding//transcription factor activity//protein dimerization activity,primary,,FBGN0086697-MONOMER
2988,DNA binding,primary,,FBGN0050403-MONOMER
2989,binding,primary,,FBGN0043806-MONOMER
2990,olfactory receptor activity//odorant binding,primary,,FBGN0033041-MONOMER
2991,ORF,primary,,FBGN0053929-MONOMER
2992,signal transducer activity//transcription factor activity,primary,,FBGN0030627-MONOMER
2993,ORF,primary,,FBGN0033353-MONOMER
2994,ORF,primary,,FBGN0052204-MONOMER
2995,ORF,primary,,FBGN0051752-MONOMER
2996,ORF,primary,,FBGN0042198-MONOMER
2997,DRAP deaminase activity,primary,,FBGN0032256-MONOMER
2998,zinc ion binding//nucleic acid binding,primary,,FBGN0058343-MONOMER
2999,transcription coactivator activity//RNA polymerase II transcription factor activity//general RNA polymerase II transcription factor activity,primary,,FBGN0011715-MONOMER
3000,ORF,primary,,FBGN0032000-MONOMER
3001,intracellular cyclic nucleotide activated cation channel activity,primary,,FBGN0014462-MONOMER
3002,GTPase activity,primary,1171,FBGN0000557-MONOMER
3003,peptidase activity,primary,,FBGN0034441-MONOMER
3004,ORF,primary,,FBGN0031195-MONOMER
3005,nucleotide binding,primary,,FBGN0023531-MONOMER
3006,ORF,primary,,FBGN0032913-MONOMER
3007,ORF,primary,,FBGN0032400-MONOMER
3008,DNA binding,primary,,FBGN0053903-MONOMER
3009,methylenetetrahydrofolate dehydrogenase activity,primary,430,FBGN0033820-MONOMER
3010,ORF,primary,,FBGN0037468-MONOMER
3011,arginine kinase activity,primary,497,FBGN0038373-MONOMER
3012,ORF,primary,,FBGN0029704-MONOMER
3013,GTPase activity,primary,1171,FBGN0042712-MONOMER
3014,electron carrier activity//heme binding//monooxygenase activity//iron ion binding,primary,,FBGN0025454-MONOMER
3015,ORF,primary,,FBGN0058120-MONOMER
3016,ORF,primary,,FBGN0069966-MONOMER
3017,carbonate dehydratase activity,primary,168,FBGN0052698-MONOMER
3018,DNA binding//aspartic-type endopeptidase activity//zinc ion binding,primary,,FBGN0063918-MONOMER
3019,aspartic-type endopeptidase activity//nucleic acid binding,primary,,FBGN0044067-MONOMER
3020,mRNA 3'-UTR binding//nucleotide binding//mRNA binding//nucleic acid binding,primary,,FBGN0086897-MONOMER
3021,"sequence-specific DNA binding//transcription factor activity//hydrolase activity, hydrolyzing O-glycosyl compounds",primary,,FBGN0033288-MONOMER
3022,RNA polymerase II transcription termination factor activity//helicase activity//DNA binding//ATP binding,primary,,FBGN0037531-MONOMER
3023,structural constituent of ribosome//mRNA binding//transcription factor activity,primary,,FBGN0038678-MONOMER
3024,neurotransmitter:sodium symporter activity,primary,,FBGN0051904-MONOMER
3025,ORF,primary,,FBGN0035159-MONOMER
3026,carbonate dehydratase activity,primary,168,FBGN0030883-MONOMER
3027,ORF,primary,,FBGN0051145-MONOMER
3028,alkaline phosphatase activity,primary,675,FBGN0000106-MONOMER
3029,ORF,primary,,FBGN0083966-MONOMER
3030,mRNA 3'-UTR binding,primary,,FBGN0064191-MONOMER
3031,ORF,primary,,FBGN0033316-MONOMER
3032,binding,primary,,FBGN0029999-MONOMER
3033,ORF,primary,,FBGN0033705-MONOMER
3034,ORF,primary,,FBGN0033372-MONOMER
3035,tubulin-tyrosine ligase activity,primary,1504,FBGN0039501-MONOMER
3036,ORF,primary,,FBGN0085250-MONOMER
3037,catalytic activity,primary,,FBGN0026570-MONOMER
3038,calcium ion binding,primary,,FBGN0026144-MONOMER
3039,succinate dehydrogenase activity,primary,782,FBGN0037860-MONOMER
3040,ORF,primary,,FBGN0085702-MONOMER
3041,ORF,primary,,FBGN0034324-MONOMER
3042,ORF,primary,,FBGN0051357-MONOMER
3043,ORF,primary,,FBGN0039407-MONOMER
3044,carboxypeptidase A activity,primary,1442,FBGN0035718-MONOMER
3045,"RNA splicing factor activity, transesterification mechanism",primary,,FBGN0037434-MONOMER
3046,peptidase activity,primary,,FBGN0035627-MONOMER
3047,ORF,primary,,FBGN0017551-MONOMER
3048,zinc ion binding//nucleic acid binding,primary,,FBGN0030240-MONOMER
3049,chromatin binding,primary,,FBGN0015020-MONOMER
3050,"hydrogen ion transporting ATPase activity, rotational mechanism",primary,1338,FBGN0010217-MONOMER
3051,binding,primary,,FBGN0027885-MONOMER
3052,ligand-dependent nuclear receptor activity//sequence-specific DNA binding//transcription factor activity//zinc ion binding,primary,,FBGN0000560-MONOMER
3053,binding,primary,,FBGN0051371-MONOMER
3054,trypsin activity,primary,823,FBGN0051219-MONOMER
3055,ORF,primary,,FBGN0033206-MONOMER
3056,extracellular-glutamate-gated ion channel activity,primary,,FBGN0029966-MONOMER
3057,structural constituent of pupal chitin-based cuticle//structural constituent of chitin-based cuticle,primary,,FBGN0000552-MONOMER
3058,ORF,primary,,FBGN0030913-MONOMER
3059,ORF,primary,,FBGN0027546-MONOMER
3060,ORF,primary,,FBGN0039274-MONOMER
3061,DNA binding,primary,,FBGN0022665-MONOMER
3062,serine-type endopeptidase activity,primary,,FBGN0032639-MONOMER
3063,binding,primary,,FBGN0030717-MONOMER
3064,voltage-gated calcium channel activity,primary,,FBGN0015607-MONOMER
3065,ORF,primary,,FBGN0030054-MONOMER
3066,electron carrier activity//heme binding//monooxygenase activity//iron ion binding,primary,,FBGN0033775-MONOMER
3067,pepsin A activity,primary,1309,FBGN0051926-MONOMER
3068,alpha-glucosidase activity,primary,40,FBGN0033296-MONOMER
3069,DNA binding,primary,,FBGN0033627-MONOMER
3070,AMP deaminase activity,primary,538,FBGN0052626-MONOMER
3071,voltage-gated potassium channel activity,primary,,FBGN0085395-MONOMER
3072,trypsin activity,primary,823,FBGN0033359-MONOMER
3073,structural constituent of muscle//protein binding//calcium ion binding,primary,,FBGN0034072-MONOMER
3074,serine-type endopeptidase activity,primary,,FBGN0051200-MONOMER
3075,cation binding//catalytic activity,primary,,FBGN0037533-MONOMER
3076,ORF,primary,,FBGN0050385-MONOMER
3077,ORF,primary,,FBGN0037142-MONOMER
3078,ORF,primary,,FBGN0050069-MONOMER
3079,zinc ion binding//nucleic acid binding,primary,,FBGN0038768-MONOMER
3080,mRNA binding//dynein binding,primary,,FBGN0003655-MONOMER
3081,cyclin-dependent protein kinase regulator activity,primary,,FBGN0027581-MONOMER
3082,procollagen-lysine 5-dioxygenase activity,primary,452,FBGN0036147-MONOMER
3083,odorant binding,primary,,FBGN0050145-MONOMER
3084,glucuronosyltransferase activity,primary,527,FBGN0040259-MONOMER
3085,ORF,primary,,FBGN0053702-MONOMER
3086,myosin binding,primary,,FBGN0035410-MONOMER
3087,ORF,primary,,FBGN0085359-MONOMER
3088,ORF,primary,,FBGN0069947-MONOMER
3089,structural constituent of chitin-based cuticle,primary,,FBGN0038819-MONOMER
3090,epidermal growth factor receptor binding//gurken receptor binding,primary,,FBGN0001137-MONOMER
3091,small conjugating protein ligase activity,primary,1480,FBGN0031896-MONOMER
3092,ORF,primary,,FBGN0085488-MONOMER
3093,ORF,primary,,FBGN0033497-MONOMER
3094,membrane alanyl aminopeptidase activity,primary,1041,FBGN0046253-MONOMER
3095,diacylglycerol kinase activity,primary,1003,FBGN0032206-MONOMER
3096,phospholipase A2 activity,primary,218,FBGN0259161-MONOMER
3097,ORF,primary,,FBGN0030483-MONOMER
3098,ORF,primary,,FBGN0038282-MONOMER
3099,minus-end-directed microtubule motor activity,primary,349,FBGN0086362-MONOMER
3100,GTPase activator activity,primary,1194,FBGN0030893-MONOMER
3101,ORF,primary,,FBGN0052233-MONOMER
3102,translation initiation factor activity//RNA binding,primary,,FBGN0041588-MONOMER
3103,leucyl aminopeptidase activity,primary,1511,FBGN0259795-MONOMER
3104,ORF,primary,,FBGN0030429-MONOMER
3105,aconitate hydratase activity,primary,301,FBGN0037862-MONOMER
3106,DNA binding//specific RNA polymerase II transcription factor activity//protein binding//RNA polymerase II transcription factor activity//transcription factor activity,primary,,FBGN0011763-MONOMER
3107,ORF,primary,,FBGN0029669-MONOMER
3108,ORF,primary,,FBGN0053511-MONOMER
3109,ORF,primary,,FBGN0036377-MONOMER
3110,ORF,primary,,FBGN0051036-MONOMER
3111,calcium ion binding,primary,,FBGN0022360-MONOMER
3112,ORF,primary,,FBGN0037459-MONOMER
3113,ORF,primary,,FBGN0034380-MONOMER
3114,ORF,primary,,FBGN0085329-MONOMER
3115,transcription factor activity,primary,,FBGN0024249-MONOMER
3116,ORF,primary,,FBGN0051080-MONOMER
3117,alkaline phosphatase activity,primary,675,FBGN0032779-MONOMER
3118,protein transporter activity//protein binding,primary,,FBGN0039132-MONOMER
3119,zinc ion binding,primary,,FBGN0030008-MONOMER
3120,ORF,primary,,FBGN0039485-MONOMER
3121,ORF,primary,,FBGN0037288-MONOMER
3122,ORF,primary,,FBGN0039203-MONOMER
3123,cysteine-type peptidase activity,primary,,FBGN0030420-MONOMER
3124,ORF,primary,,FBGN0054044-MONOMER
3125,prolyl oligopeptidase activity,primary,1005,FBGN0032242-MONOMER
3126,triacylglycerol lipase activity,primary,1040,FBGN0039476-MONOMER
3127,nucleoside-triphosphatase activity,primary,669,FBGN0022772-MONOMER
3128,protein tyrosine kinase activity,primary,,FBGN0010337-MONOMER
3129,DNA binding//transcription activator activity//protein binding//RNA polymerase II transcription factor activity//transcription factor activity,primary,,FBGN0011766-MONOMER
3130,ATPase activity,primary,641,FBGN0013812-MONOMER
3131,ORF,primary,,FBGN0030462-MONOMER
3132,ORF,primary,,FBGN0036835-MONOMER
3133,aryl hydrocarbon receptor binding,primary,,FBGN0030345-MONOMER
3134,ORF,primary,,FBGN0036005-MONOMER
3135,ORF,primary,,FBGN0040352-MONOMER
3136,ORF,primary,,FBGN0031674-MONOMER
3137,orotate phosphoribosyltransferase activity,primary,1177,FBGN0003257-MONOMER
3138,"sterol carrier activity//oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",primary,,FBGN0039537-MONOMER
3139,calcium ion binding,primary,,FBGN0019886-MONOMER
3140,ORF,primary,,FBGN0039513-MONOMER
3141,nucleic acid binding,primary,,FBGN0026533-MONOMER
3142,translation initiation factor activity//RNA cap binding,primary,,FBGN0015218-MONOMER
3143,binding//catalytic activity,primary,,FBGN0034366-MONOMER
3144,protein binding//zinc ion binding//general RNA polymerase II transcription factor activity,primary,,FBGN0026262-MONOMER
3145,ORF,primary,,FBGN0034310-MONOMER
3146,calcium ion binding,primary,,FBGN0004616-MONOMER
3147,cytochrome-c oxidase activity,primary,1456,FBGN0019624-MONOMER
3148,ATP-dependent helicase activity,primary,641,FBGN0035720-MONOMER
3149,ORF,primary,,FBGN0031365-MONOMER
3150,zinc ion binding//nucleic acid binding,primary,,FBGN0037619-MONOMER
3151,ORF,primary,,FBGN0030648-MONOMER
3152,glutathione transferase activity,primary,650,FBGN0037697-MONOMER
3153,serine-type peptidase activity,primary,,FBGN0038700-MONOMER
3154,protein binding,primary,,FBGN0003882-MONOMER
3155,ORF,primary,,FBGN0038219-MONOMER
3156,structural constituent of ribosome,primary,,FBGN0031980-MONOMER
3157,microtubule binding//protein binding,primary,,FBGN0027948-MONOMER
3158,ORF,primary,,FBGN0052718-MONOMER
3159,high affinity sulfate transmembrane transporter activity,primary,,FBGN0038337-MONOMER
3160,ATP-dependent RNA helicase activity,primary,641,FBGN0030551-MONOMER
3161,ORF,primary,,FBGN0037107-MONOMER
3162,MAP kinase tyrosine/serine/threonine phosphatase activity//protein tyrosine/serine/threonine phosphatase activity//phosphoric monoester hydrolase activity,primary,,FBGN0036844-MONOMER
3163,G-protein coupled receptor activity,primary,,FBGN0032180-MONOMER
3164,ubiquitin-protein ligase activity,primary,1480,FBGN0027052-MONOMER
3165,mRNA binding,primary,,FBGN0038872-MONOMER
3166,ORF,primary,,FBGN0052048-MONOMER
3167,ORF,primary,,FBGN0086476-MONOMER
3168,ORF,primary,,FBGN0034870-MONOMER
3169,ORF,primary,,FBGN0030724-MONOMER
3170,ORF,primary,,FBGN0015359-MONOMER
3171,ORF,primary,,FBGN0085549-MONOMER
3172,ORF,primary,,FBGN0030905-MONOMER
3173,transcription factor binding,primary,,FBGN0024302-MONOMER
3174,DNA-directed RNA polymerase activity,primary,1393,FBGN0037121-MONOMER
3175,protein binding,primary,,FBGN0001259-MONOMER
3176,protein binding,primary,,FBGN0044323-MONOMER
3177,sequence-specific DNA binding//transcription factor activity,primary,,FBGN0085396-MONOMER
3178,transcription activator activity//translation initiation factor activity//transcription factor binding//RNA polymerase III transcription factor activity//zinc ion binding,primary,,FBGN0038499-MONOMER
3179,ORF,primary,,FBGN0034511-MONOMER
3180,ORF,primary,,FBGN0038998-MONOMER
3181,ORF,primary,,FBGN0039398-MONOMER
3182,ORF,primary,,FBGN0053658-MONOMER
3183,ORF,primary,,FBGN0033512-MONOMER
3184,calcium-dependent cysteine-type endopeptidase activity,primary,,FBGN0025105-MONOMER
3185,ORF,primary,,FBGN0053218-MONOMER
3186,SNAP receptor activity,primary,,FBGN0035156-MONOMER
3187,sugar binding,primary,,FBGN0000615-MONOMER
3188,S-methyl-5-thioadenosine phosphorylase activity,primary,750,FBGN0034215-MONOMER
3189,ORF,primary,,FBGN0035315-MONOMER
3190,chitinase activity,primary,1336,FBGN0030171-MONOMER
3191,caspase inhibitor activity,primary,,FBGN0034894-MONOMER
3192,N-acetylmuramoyl-L-alanine amidase activity,primary,853,FBGN0035975-MONOMER
3193,NADH dehydrogenase activity,primary,1214,FBGN0017566-MONOMER
3194,ORF,primary,,FBGN0032074-MONOMER
3195,inositol or phosphatidylinositol phosphatase activity//diacylglycerol binding//protein tyrosine/serine/threonine phosphatase activity,primary,,FBGN0025802-MONOMER
3196,ORF,primary,,FBGN0053800-MONOMER
3197,membrane alanyl aminopeptidase activity,primary,1041,FBGN0028935-MONOMER
3198,ATP binding,primary,,FBGN0051354-MONOMER
3199,actin binding//actin filament binding//calcium ion binding,primary,,FBGN0015008-MONOMER
3200,phospholipid-translocating ATPase activity,primary,461,FBGN0032120-MONOMER
3201,gamma-butyrobetaine dioxygenase activity,primary,1213,FBGN0030575-MONOMER
3202,chitin binding//galactose binding,primary,,FBGN0259230-MONOMER
3203,guanyl-nucleotide exchange factor activity,primary,,FBGN0069356-MONOMER
3204,peptidyl-dipeptidase A activity,primary,1295,FBGN0032536-MONOMER
3205,phosphopantetheine binding,primary,,FBGN0034323-MONOMER
3206,ORF,primary,,FBGN0033793-MONOMER
3207,protein binding//zinc ion binding,primary,,FBGN0024993-MONOMER
3208,ORF,primary,,FBGN0039323-MONOMER
3209,taste receptor activity,primary,,FBGN0052255-MONOMER
3210,ORF,primary,,FBGN0061196-MONOMER
3211,ORF,primary,,FBGN0035366-MONOMER
3212,ORF,primary,,FBGN0032900-MONOMER
3213,calcium ion binding,primary,,FBGN0033238-MONOMER
3214,ORF,primary,,FBGN0051055-MONOMER
3215,ORF,primary,,FBGN0036219-MONOMER
3216,protein kinase activity,primary,1451,FBGN0032456-MONOMER
3217,ORF,primary,,FBGN0033350-MONOMER
3218,lysozyme activity,primary,249,FBGN0004429-MONOMER
3219,Rab GTPase activator activity//GTPase activator activity,primary,,FBGN0038855-MONOMER
3220,structural molecule activity,primary,,FBGN0020517-MONOMER
3221,high affinity sulfate transmembrane transporter activity,primary,,FBGN0039787-MONOMER
3222,4-nitrophenylphosphatase activity,primary,928,FBGN0024995-MONOMER
